project_id,anomaly_case_type,planted,description
P00745,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02193,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00895,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01415,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00398,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02799,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00634,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02457,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01533,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02352,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00725,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01806,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02894,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00728,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02079,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00610,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01824,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00125,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02549,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00159,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P02202,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P00493,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01277,COST_SPIKE,1,Sanctioned/released cost deliberately inflated relative to peers.
P01226,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00457,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01469,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02866,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00764,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02478,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02177,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00705,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00424,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02090,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00818,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02533,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00654,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02575,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01419,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01911,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02764,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02301,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01636,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01883,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00492,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02808,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02330,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00278,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01423,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01039,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01540,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00596,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01010,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02061,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00798,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01700,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00178,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01507,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00249,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02016,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02768,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02969,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02482,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00420,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02183,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00385,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02784,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02749,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01348,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02215,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02366,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02415,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02947,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02234,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02190,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01659,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02294,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02701,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00851,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01190,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00571,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00839,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01232,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02631,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01792,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01830,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01588,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00349,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02059,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00102,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02063,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00443,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01352,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02358,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02031,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02561,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01287,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01209,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02870,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02933,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00233,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02216,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00797,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00378,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01292,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02467,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02399,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02279,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00734,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02692,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P01319,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00204,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P02244,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00120,PROGRESS_EXPENDITURE_GAP,1,High expenditure deliberately paired with low reported progress.
P00205,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01309,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01666,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00823,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01521,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02326,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00226,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02962,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01873,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02196,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02265,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00778,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02197,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01605,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02949,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00194,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00934,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00432,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01971,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00810,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00963,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01384,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00316,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00887,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02136,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00901,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02472,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02773,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02655,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00067,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00196,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01651,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00898,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02984,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00508,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01254,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00022,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01043,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02855,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01431,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00772,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01687,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00991,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01609,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01737,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00675,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00615,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02594,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01069,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02691,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02895,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01118,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01826,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02945,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02469,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02711,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01338,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00893,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02830,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01177,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01768,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02988,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00044,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01796,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01786,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01631,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01201,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00828,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02107,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01099,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02600,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00045,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02713,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02997,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01710,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00182,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P01938,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00559,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02871,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P02985,DELAYED_PROJECT,1,Project deliberately given an unusually long elapsed duration/status.
P00996,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00315,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P02835,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00512,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00516,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00703,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P02166,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00299,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00820,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P02388,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P01457,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00744,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P01142,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P01771,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P01266,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P02385,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P01273,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P02534,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P01163,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00485,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00533,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P01755,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00906,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00388,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P02464,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P02212,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00900,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00565,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P02304,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P00160,DATE_INCONSISTENCY,1,Expected completion date deliberately placed before start date.
P02104,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02148,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00495,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00504,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01036,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00170,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01747,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00840,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00376,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00305,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01095,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01959,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02766,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01673,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01968,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00643,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01985,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02684,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00185,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02982,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02263,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00860,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00956,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01436,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00198,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02559,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00065,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00686,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01542,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01134,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00794,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01579,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02074,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00914,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02899,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00257,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01761,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01713,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00688,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01318,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02272,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00288,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01021,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00837,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02821,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00882,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01514,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P02960,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01972,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P00113,HIGH_UTILIZATION_LOW_PROGRESS,1,Near-full financial utilization deliberately paired with low physical progress.
P01534,DUPLICATE_CANDIDATE,1,Near-duplicate project pair deliberately created for similarity detection.
P00196,DUPLICATE_CANDIDATE,1,Near-duplicate project pair deliberately created for similarity detection.
P02093,DUPLICATE_CANDIDATE,1,Near-duplicate project pair deliberately created for similarity detection.
P01104,DUPLICATE_CANDIDATE,1,Near-duplicate project pair deliberately created for similarity detection.
