snapshot_id,project_id,snapshot_date,reported_progress_pct,cumulative_expenditure,status_snapshot,data_type
PS0000180,P00031,2025-10-01,49.3,271000,Stalled,SYNTHETIC_DEMO
PS0000181,P00031,2026-01-01,49.3,120000,Stalled,SYNTHETIC_DEMO
PS0000182,P00031,2026-04-01,49.3,280000,Stalled,SYNTHETIC_DEMO
PS0000183,P00031,2026-07-01,49.3,165000,Stalled,SYNTHETIC_DEMO
PS0000184,P00032,2025-07-01,37.9,382000,Stalled,SYNTHETIC_DEMO
PS0000185,P00032,2025-10-01,55.2,283000,Stalled,SYNTHETIC_DEMO
PS0000186,P00032,2026-01-01,81.6,464000,Stalled,SYNTHETIC_DEMO
PS0000187,P00032,2026-04-01,81.6,514000,Stalled,SYNTHETIC_DEMO
PS0000188,P00032,2026-07-01,81.6,430000,Stalled,SYNTHETIC_DEMO
PS0000189,P00033,2025-04-01,20.5,159000,Stalled,SYNTHETIC_DEMO
PS0000190,P00033,2025-07-01,61.7,307000,Stalled,SYNTHETIC_DEMO
PS0000191,P00033,2025-10-01,61.7,237000,Stalled,SYNTHETIC_DEMO
PS0000192,P00033,2026-01-01,61.7,118000,Stalled,SYNTHETIC_DEMO
PS0000193,P00033,2026-04-01,61.7,188000,Stalled,SYNTHETIC_DEMO
PS0000194,P00033,2026-07-01,61.7,249000,Stalled,SYNTHETIC_DEMO
PS0000195,P00034,2025-01-01,70.3,188000,Stalled,SYNTHETIC_DEMO
PS0000196,P00034,2025-04-01,70.3,223000,Stalled,SYNTHETIC_DEMO
PS0000197,P00034,2025-07-01,70.3,177000,Stalled,SYNTHETIC_DEMO
PS0000198,P00034,2025-10-01,70.3,266000,Stalled,SYNTHETIC_DEMO
PS0000199,P00034,2026-01-01,70.3,255000,Stalled,SYNTHETIC_DEMO
PS0000200,P00034,2026-04-01,70.3,185000,Stalled,SYNTHETIC_DEMO
PS0000201,P00034,2026-07-01,70.3,251000,Stalled,SYNTHETIC_DEMO
PS0000202,P00035,2025-07-01,20.2,169000,Stalled,SYNTHETIC_DEMO
PS0000203,P00035,2025-10-01,62.1,85000,Stalled,SYNTHETIC_DEMO
PS0000204,P00035,2026-01-01,76.9,134000,Stalled,SYNTHETIC_DEMO
PS0000205,P00035,2026-04-01,76.9,105000,Stalled,SYNTHETIC_DEMO
PS0000206,P00035,2026-07-01,76.9,93000,Stalled,SYNTHETIC_DEMO
PS0000207,P00036,2026-04-01,11.9,384000,Ongoing,SYNTHETIC_DEMO
PS0000208,P00036,2026-07-01,33.6,390000,Ongoing,SYNTHETIC_DEMO
PS0000209,P00037,2025-01-01,24.7,106000,Stalled,SYNTHETIC_DEMO
PS0000210,P00037,2025-04-01,24.7,165000,Stalled,SYNTHETIC_DEMO
PS0000211,P00037,2025-07-01,24.7,213000,Stalled,SYNTHETIC_DEMO
PS0000212,P00037,2025-10-01,24.7,90000,Stalled,SYNTHETIC_DEMO
PS0000213,P00037,2026-01-01,24.7,183000,Stalled,SYNTHETIC_DEMO
PS0000214,P00037,2026-04-01,24.7,217000,Stalled,SYNTHETIC_DEMO
PS0000215,P00037,2026-07-01,24.7,116000,Stalled,SYNTHETIC_DEMO
PS0000216,P00038,2025-10-01,11.9,581000,Ongoing,SYNTHETIC_DEMO
PS0000217,P00038,2026-01-01,21.5,359000,Ongoing,SYNTHETIC_DEMO
PS0000218,P00038,2026-04-01,35.4,784000,Ongoing,SYNTHETIC_DEMO
PS0000219,P00038,2026-07-01,59.7,430000,Ongoing,SYNTHETIC_DEMO
PS0000220,P00039,2025-01-01,29.7,402000,Stalled,SYNTHETIC_DEMO
PS0000221,P00039,2025-04-01,29.7,284000,Stalled,SYNTHETIC_DEMO
PS0000222,P00039,2025-07-01,29.7,287000,Stalled,SYNTHETIC_DEMO
PS0000223,P00039,2025-10-01,29.7,306000,Stalled,SYNTHETIC_DEMO
PS0000224,P00039,2026-01-01,29.7,260000,Stalled,SYNTHETIC_DEMO
PS0000225,P00039,2026-04-01,29.7,313000,Stalled,SYNTHETIC_DEMO
PS0000226,P00039,2026-07-01,29.7,341000,Stalled,SYNTHETIC_DEMO
PS0000227,P00040,2025-01-01,42.3,184000,Stalled,SYNTHETIC_DEMO
PS0000228,P00040,2025-04-01,42.3,187000,Stalled,SYNTHETIC_DEMO
PS0000229,P00040,2025-07-01,42.3,152000,Stalled,SYNTHETIC_DEMO
PS0000230,P00040,2025-10-01,42.3,124000,Stalled,SYNTHETIC_DEMO
PS0000231,P00040,2026-01-01,42.3,105000,Stalled,SYNTHETIC_DEMO
PS0000232,P00040,2026-04-01,42.3,102000,Stalled,SYNTHETIC_DEMO
PS0000233,P00040,2026-07-01,42.3,206000,Stalled,SYNTHETIC_DEMO
PS0000234,P00041,2026-01-01,0.0,189000,Ongoing,SYNTHETIC_DEMO
PS0000235,P00041,2026-04-01,21.0,246000,Ongoing,SYNTHETIC_DEMO
PS0000236,P00041,2026-07-01,27.2,178000,Ongoing,SYNTHETIC_DEMO
PS0000237,P00042,2025-01-01,32.6,388000,Stalled,SYNTHETIC_DEMO
PS0000238,P00042,2025-04-01,32.6,309000,Stalled,SYNTHETIC_DEMO
PS0000239,P00042,2025-07-01,32.6,364000,Stalled,SYNTHETIC_DEMO
PS0000240,P00042,2025-10-01,32.6,273000,Stalled,SYNTHETIC_DEMO
PS0000241,P00042,2026-01-01,32.6,478000,Stalled,SYNTHETIC_DEMO
PS0000242,P00042,2026-04-01,32.6,347000,Stalled,SYNTHETIC_DEMO
PS0000243,P00042,2026-07-01,32.6,447000,Stalled,SYNTHETIC_DEMO
PS0000244,P00043,2025-01-01,50.0,78000,Stalled,SYNTHETIC_DEMO
PS0000245,P00043,2025-04-01,50.0,63000,Stalled,SYNTHETIC_DEMO
PS0000246,P00043,2025-07-01,50.0,76000,Stalled,SYNTHETIC_DEMO
PS0000247,P00043,2025-10-01,50.0,85000,Stalled,SYNTHETIC_DEMO
PS0000248,P00043,2026-01-01,50.0,101000,Stalled,SYNTHETIC_DEMO
PS0000249,P00043,2026-04-01,50.0,84000,Stalled,SYNTHETIC_DEMO
PS0000250,P00043,2026-07-01,50.0,67000,Stalled,SYNTHETIC_DEMO
PS0000251,P00044,2025-01-01,46.1,163000,Stalled,SYNTHETIC_DEMO
PS0000252,P00044,2025-04-01,66.4,150000,Stalled,SYNTHETIC_DEMO
PS0000253,P00044,2025-07-01,66.4,162000,Stalled,SYNTHETIC_DEMO
PS0000254,P00044,2025-10-01,66.4,120000,Stalled,SYNTHETIC_DEMO
PS0000255,P00044,2026-01-01,66.4,174000,Stalled,SYNTHETIC_DEMO
PS0000256,P00044,2026-04-01,66.4,98000,Stalled,SYNTHETIC_DEMO
PS0000257,P00044,2026-07-01,66.4,112000,Stalled,SYNTHETIC_DEMO
PS0000258,P00045,2025-01-01,56.1,446000,Delayed,SYNTHETIC_DEMO
PS0000259,P00045,2025-04-01,56.1,373000,Delayed,SYNTHETIC_DEMO
PS0000260,P00045,2025-07-01,56.1,392000,Delayed,SYNTHETIC_DEMO
PS0000261,P00045,2025-10-01,56.1,364000,Delayed,SYNTHETIC_DEMO
PS0000262,P00045,2026-01-01,56.1,539000,Delayed,SYNTHETIC_DEMO
PS0000263,P00045,2026-04-01,56.1,477000,Delayed,SYNTHETIC_DEMO
PS0000264,P00045,2026-07-01,56.1,266000,Delayed,SYNTHETIC_DEMO
PS0000265,P00046,2025-01-01,74.4,308000,Stalled,SYNTHETIC_DEMO
PS0000266,P00046,2025-04-01,74.4,164000,Stalled,SYNTHETIC_DEMO
PS0000267,P00046,2025-07-01,74.4,259000,Stalled,SYNTHETIC_DEMO
PS0000268,P00046,2025-10-01,74.4,207000,Stalled,SYNTHETIC_DEMO
PS0000269,P00046,2026-01-01,74.4,280000,Stalled,SYNTHETIC_DEMO
PS0000270,P00046,2026-04-01,74.4,194000,Stalled,SYNTHETIC_DEMO
PS0000271,P00046,2026-07-01,74.4,185000,Stalled,SYNTHETIC_DEMO
PS0000272,P00047,2025-01-01,50.6,417000,Stalled,SYNTHETIC_DEMO
PS0000273,P00047,2025-04-01,69.3,467000,Stalled,SYNTHETIC_DEMO
PS0000274,P00047,2025-07-01,69.3,573000,Stalled,SYNTHETIC_DEMO
PS0000275,P00047,2025-10-01,69.3,657000,Stalled,SYNTHETIC_DEMO
PS0000276,P00047,2026-01-01,69.3,285000,Stalled,SYNTHETIC_DEMO
PS0000277,P00047,2026-04-01,69.3,360000,Stalled,SYNTHETIC_DEMO
PS0000278,P00047,2026-07-01,69.3,348000,Stalled,SYNTHETIC_DEMO
PS0000279,P00048,2025-01-01,73.0,69000,Stalled,SYNTHETIC_DEMO
PS0000280,P00048,2025-04-01,73.0,118000,Stalled,SYNTHETIC_DEMO
PS0000281,P00048,2025-07-01,73.0,78000,Stalled,SYNTHETIC_DEMO
PS0000282,P00048,2025-10-01,73.0,54000,Stalled,SYNTHETIC_DEMO
PS0000283,P00048,2026-01-01,73.0,107000,Stalled,SYNTHETIC_DEMO
PS0000284,P00048,2026-04-01,73.0,91000,Stalled,SYNTHETIC_DEMO
PS0000285,P00048,2026-07-01,73.0,87000,Stalled,SYNTHETIC_DEMO
PS0000286,P00049,2026-01-01,5.2,118000,Ongoing,SYNTHETIC_DEMO
PS0000287,P00049,2026-04-01,8.9,121000,Ongoing,SYNTHETIC_DEMO
PS0000288,P00049,2026-07-01,8.9,133000,Ongoing,SYNTHETIC_DEMO
PS0000289,P00050,2025-01-01,61.3,242000,Stalled,SYNTHETIC_DEMO
PS0000290,P00050,2025-04-01,61.3,349000,Stalled,SYNTHETIC_DEMO
PS0000291,P00050,2025-07-01,61.3,169000,Stalled,SYNTHETIC_DEMO
PS0000292,P00050,2025-10-01,61.3,390000,Stalled,SYNTHETIC_DEMO
PS0000293,P00050,2026-01-01,61.3,169000,Stalled,SYNTHETIC_DEMO
PS0000294,P00050,2026-04-01,61.3,331000,Stalled,SYNTHETIC_DEMO
PS0000295,P00050,2026-07-01,61.3,158000,Stalled,SYNTHETIC_DEMO
PS0000296,P00051,2025-01-01,81.7,162000,Stalled,SYNTHETIC_DEMO
PS0000297,P00051,2025-04-01,81.7,386000,Stalled,SYNTHETIC_DEMO
PS0000298,P00051,2025-07-01,81.7,260000,Stalled,SYNTHETIC_DEMO
PS0000299,P00051,2025-10-01,81.7,218000,Stalled,SYNTHETIC_DEMO
PS0000300,P00051,2026-01-01,81.7,367000,Stalled,SYNTHETIC_DEMO
PS0000301,P00051,2026-04-01,81.7,215000,Stalled,SYNTHETIC_DEMO
PS0000302,P00051,2026-07-01,81.7,382000,Stalled,SYNTHETIC_DEMO
PS0000303,P00052,2025-01-01,64.1,67000,Stalled,SYNTHETIC_DEMO
PS0000304,P00052,2025-04-01,64.1,75000,Stalled,SYNTHETIC_DEMO
PS0000305,P00052,2025-07-01,64.1,93000,Stalled,SYNTHETIC_DEMO
PS0000306,P00052,2025-10-01,64.1,68000,Stalled,SYNTHETIC_DEMO
PS0000307,P00052,2026-01-01,64.1,55000,Stalled,SYNTHETIC_DEMO
PS0000308,P00052,2026-04-01,64.1,52000,Stalled,SYNTHETIC_DEMO
PS0000309,P00052,2026-07-01,64.1,105000,Stalled,SYNTHETIC_DEMO
PS0000310,P00053,2025-01-01,24.9,195000,Ongoing,SYNTHETIC_DEMO
PS0000311,P00053,2025-04-01,40.0,220000,Ongoing,SYNTHETIC_DEMO
PS0000312,P00053,2025-07-01,44.8,218000,Ongoing,SYNTHETIC_DEMO
PS0000313,P00053,2025-10-01,65.0,105000,Ongoing,SYNTHETIC_DEMO
PS0000314,P00053,2026-01-01,65.0,160000,Ongoing,SYNTHETIC_DEMO
PS0000315,P00053,2026-04-01,65.0,218000,Ongoing,SYNTHETIC_DEMO
PS0000316,P00053,2026-07-01,65.0,211000,Ongoing,SYNTHETIC_DEMO
PS0000317,P00054,2025-01-01,54.0,182000,Stalled,SYNTHETIC_DEMO
PS0000318,P00054,2025-04-01,54.0,317000,Stalled,SYNTHETIC_DEMO
PS0000319,P00054,2025-07-01,54.0,173000,Stalled,SYNTHETIC_DEMO
PS0000320,P00054,2025-10-01,54.0,294000,Stalled,SYNTHETIC_DEMO
PS0000321,P00054,2026-01-01,54.0,143000,Stalled,SYNTHETIC_DEMO
PS0000322,P00054,2026-04-01,54.0,151000,Stalled,SYNTHETIC_DEMO
