risk_event_id,project_id,mp_id,mp_name,detected_on,risk_score,risk_level,risk_reason,review_status,data_type
RE00000038,P00006,MP043,Pooja Joshi,2026-01-16,5.0,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000039,P00006,MP043,Pooja Joshi,2026-01-30,5.0,LOW,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00000040,P00006,MP043,Pooja Joshi,2025-12-28,5.2,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000041,P00006,MP043,Pooja Joshi,2025-05-15,5.0,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000042,P00007,MP050,Ravi Nair,2026-03-11,43.2,MEDIUM,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00000043,P00007,MP050,Ravi Nair,2025-09-28,48.3,MEDIUM,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00000044,P00007,MP050,Ravi Nair,2025-06-19,36.0,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000045,P00007,MP050,Ravi Nair,2025-04-20,64.1,MEDIUM,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000046,P00007,MP050,Ravi Nair,2025-07-17,47.7,MEDIUM,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000047,P00007,MP050,Ravi Nair,2025-07-01,56.4,MEDIUM,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00000048,P00008,MP057,Nitin Singh,2026-06-07,51.4,MEDIUM,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000049,P00008,MP057,Nitin Singh,2025-04-13,63.6,MEDIUM,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00000050,P00008,MP057,Nitin Singh,2025-09-13,67.5,MEDIUM,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000051,P00009,MP004,Anita Mehta,2026-08-09,24.6,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00000052,P00009,MP004,Anita Mehta,2025-01-23,14.7,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000053,P00009,MP004,Anita Mehta,2025-04-14,30.3,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00000054,P00010,MP011,Meena Sharma,2025-02-20,25.3,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00000055,P00010,MP011,Meena Sharma,2025-07-12,39.3,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00000056,P00010,MP011,Meena Sharma,2026-07-31,15.6,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000057,P00010,MP011,Meena Sharma,2026-02-25,37.4,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00000058,P00010,MP011,Meena Sharma,2026-05-17,15.9,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000059,P00011,MP018,Priya Joshi,2025-10-13,25.2,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000060,P00011,MP018,Priya Joshi,2025-04-09,36.0,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00000061,P00011,MP018,Priya Joshi,2026-06-02,42.0,MEDIUM,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00000062,P00012,MP025,Arjun Nair,2025-02-14,33.2,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00000063,P00012,MP025,Arjun Nair,2025-03-25,23.2,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000064,P00012,MP025,Arjun Nair,2025-10-30,33.0,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000065,P00012,MP025,Arjun Nair,2026-01-06,52.3,MEDIUM,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000066,P00012,MP025,Arjun Nair,2025-05-16,36.0,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00000067,P00012,MP025,Arjun Nair,2025-12-26,47.2,MEDIUM,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00000068,P00013,MP032,Rahul Singh,2025-10-24,19.0,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00000069,P00013,MP032,Rahul Singh,2025-02-15,33.1,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00000070,P00013,MP032,Rahul Singh,2026-05-11,34.6,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000071,P00014,MP039,Kavita Mehta,2025-05-07,20.3,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00000072,P00014,MP039,Kavita Mehta,2025-01-12,31.7,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00000073,P00014,MP039,Kavita Mehta,2025-04-22,36.0,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00000074,P00014,MP039,Kavita Mehta,2025-10-22,38.2,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000075,P00014,MP039,Kavita Mehta,2025-04-23,34.3,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00000076,P00015,MP046,Amit Sharma,2025-02-14,11.1,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00000077,P00015,MP046,Amit Sharma,2025-05-10,5.0,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00000078,P00015,MP046,Amit Sharma,2025-07-03,6.4,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000079,P00015,MP046,Amit Sharma,2026-02-12,11.7,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00000080,P00016,MP053,Suresh Joshi,2026-02-16,28.2,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000081,P00016,MP053,Suresh Joshi,2025-12-14,11.4,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00000082,P00016,MP053,Suresh Joshi,2025-09-14,24.3,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000083,P00016,MP053,Suresh Joshi,2025-06-03,21.4,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00000084,P00017,MP060,Deepak Nair,2025-09-05,10.1,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000085,P00017,MP060,Deepak Nair,2025-02-28,18.0,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00000086,P00017,MP060,Deepak Nair,2025-04-26,7.6,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00000087,P00017,MP060,Deepak Nair,2026-03-24,27.6,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000088,P00017,MP060,Deepak Nair,2026-08-16,24.3,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00000089,P00017,MP060,Deepak Nair,2025-03-14,18.9,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00000090,P00017,MP060,Deepak Nair,2026-06-20,21.8,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000091,P00017,MP060,Deepak Nair,2025-07-27,45.9,MEDIUM,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000092,P00018,MP007,Vikram Singh,2026-08-12,14.0,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000093,P00018,MP007,Vikram Singh,2025-08-25,10.0,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000094,P00018,MP007,Vikram Singh,2025-10-07,13.0,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000095,P00018,MP007,Vikram Singh,2025-11-24,29.2,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000096,P00019,MP014,Manoj Mehta,2026-04-30,11.3,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000097,P00019,MP014,Manoj Mehta,2025-10-31,15.9,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00000098,P00019,MP014,Manoj Mehta,2026-06-25,12.7,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000099,P00019,MP014,Manoj Mehta,2025-06-30,24.1,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000100,P00019,MP014,Manoj Mehta,2026-06-26,20.1,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000101,P00020,MP021,Neha Sharma,2025-04-24,49.4,MEDIUM,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000102,P00020,MP021,Neha Sharma,2025-02-05,73.8,HIGH,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000103,P00020,MP021,Neha Sharma,2025-03-08,67.6,MEDIUM,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00000104,P00020,MP021,Neha Sharma,2026-06-01,59.5,MEDIUM,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00000105,P00020,MP021,Neha Sharma,2025-02-21,71.5,HIGH,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000106,P00021,MP028,Pooja Joshi,2026-01-09,5.0,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000107,P00021,MP028,Pooja Joshi,2025-07-27,5.0,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000108,P00021,MP028,Pooja Joshi,2026-05-09,5.7,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00000109,P00021,MP028,Pooja Joshi,2025-11-06,5.0,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00000110,P00021,MP028,Pooja Joshi,2025-01-03,18.3,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00000111,P00021,MP028,Pooja Joshi,2025-05-03,13.6,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00000112,P00022,MP035,Ravi Nair,2026-04-05,47.3,MEDIUM,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00000113,P00022,MP035,Ravi Nair,2025-04-09,54.7,MEDIUM,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00000114,P00022,MP035,Ravi Nair,2025-10-04,57.0,MEDIUM,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00000115,P00022,MP035,Ravi Nair,2025-12-16,41.1,MEDIUM,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000116,P00022,MP035,Ravi Nair,2025-06-23,67.2,MEDIUM,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00000117,P00022,MP035,Ravi Nair,2025-08-06,82.7,HIGH,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000118,P00023,MP042,Nitin Singh,2026-04-27,29.8,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000119,P00023,MP042,Nitin Singh,2026-01-19,35.2,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000120,P00023,MP042,Nitin Singh,2026-01-23,30.8,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00000121,P00023,MP042,Nitin Singh,2025-12-30,30.7,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000122,P00023,MP042,Nitin Singh,2025-08-31,32.1,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000123,P00023,MP042,Nitin Singh,2025-09-02,29.3,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00000124,P00023,MP042,Nitin Singh,2025-02-28,53.2,MEDIUM,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00000125,P00023,MP042,Nitin Singh,2025-03-27,56.5,MEDIUM,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00000126,P00024,MP049,Anita Mehta,2025-09-11,10.2,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000127,P00024,MP049,Anita Mehta,2025-08-05,5.0,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000128,P00024,MP049,Anita Mehta,2026-05-27,24.2,LOW,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00000129,P00024,MP049,Anita Mehta,2025-09-21,17.2,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000130,P00025,MP056,Meena Sharma,2025-10-31,16.0,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000131,P00025,MP056,Meena Sharma,2025-06-02,7.0,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00000132,P00025,MP056,Meena Sharma,2025-07-27,25.1,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000133,P00025,MP056,Meena Sharma,2025-01-22,27.6,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000134,P00025,MP056,Meena Sharma,2026-01-13,9.7,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000135,P00026,MP003,Priya Joshi,2025-01-13,11.0,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00000136,P00026,MP003,Priya Joshi,2026-03-12,5.0,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00000137,P00026,MP003,Priya Joshi,2026-04-06,5.0,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00000138,P00026,MP003,Priya Joshi,2026-02-25,10.2,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000139,P00027,MP010,Arjun Nair,2026-01-28,11.2,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00000140,P00027,MP010,Arjun Nair,2025-05-05,21.1,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00000141,P00027,MP010,Arjun Nair,2025-05-01,16.3,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00000142,P00027,MP010,Arjun Nair,2026-03-23,23.0,LOW,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00000143,P00027,MP010,Arjun Nair,2025-03-11,13.3,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000144,P00027,MP010,Arjun Nair,2025-01-04,31.0,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00000145,P00027,MP010,Arjun Nair,2026-04-24,43.5,MEDIUM,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00000146,P00027,MP010,Arjun Nair,2025-05-20,26.3,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000147,P00028,MP017,Rahul Singh,2026-06-25,5.0,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000148,P00028,MP017,Rahul Singh,2026-06-21,5.0,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00000149,P00028,MP017,Rahul Singh,2026-05-23,9.9,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000150,P00028,MP017,Rahul Singh,2026-04-21,15.5,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000151,P00029,MP024,Kavita Mehta,2025-04-13,22.6,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000152,P00029,MP024,Kavita Mehta,2026-02-15,15.9,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000153,P00029,MP024,Kavita Mehta,2026-04-06,6.1,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00000154,P00029,MP024,Kavita Mehta,2026-01-06,16.2,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000155,P00030,MP031,Amit Sharma,2025-04-25,55.2,MEDIUM,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00000156,P00030,MP031,Amit Sharma,2025-06-02,67.1,MEDIUM,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00000157,P00030,MP031,Amit Sharma,2025-07-29,58.7,MEDIUM,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000158,P00030,MP031,Amit Sharma,2026-08-06,61.5,MEDIUM,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00000159,P00030,MP031,Amit Sharma,2025-10-17,56.8,MEDIUM,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000160,P00030,MP031,Amit Sharma,2025-06-28,78.1,HIGH,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000161,P00030,MP031,Amit Sharma,2026-01-01,63.0,MEDIUM,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000162,P00030,MP031,Amit Sharma,2025-09-30,82.2,HIGH,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00000163,P00031,MP038,Suresh Joshi,2026-04-30,6.4,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00000164,P00031,MP038,Suresh Joshi,2026-07-19,18.2,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000165,P00031,MP038,Suresh Joshi,2026-05-24,31.1,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000166,P00031,MP038,Suresh Joshi,2026-05-27,15.9,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000167,P00031,MP038,Suresh Joshi,2025-12-08,33.3,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00000168,P00031,MP038,Suresh Joshi,2026-07-04,19.5,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000169,P00032,MP045,Deepak Nair,2026-04-26,5.0,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000170,P00032,MP045,Deepak Nair,2025-05-29,5.0,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00000171,P00032,MP045,Deepak Nair,2025-07-24,20.7,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00000172,P00032,MP045,Deepak Nair,2026-03-13,11.2,LOW,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00000173,P00032,MP045,Deepak Nair,2026-01-26,22.6,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00000174,P00032,MP045,Deepak Nair,2025-04-02,29.9,LOW,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00000175,P00032,MP045,Deepak Nair,2025-07-13,14.9,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000176,P00033,MP052,Vikram Singh,2025-08-06,8.4,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000177,P00033,MP052,Vikram Singh,2026-05-05,21.5,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00000178,P00033,MP052,Vikram Singh,2026-02-07,38.0,LOW,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00000179,P00034,MP059,Manoj Mehta,2026-05-04,5.0,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000180,P00034,MP059,Manoj Mehta,2025-12-06,22.2,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00000181,P00034,MP059,Manoj Mehta,2025-02-24,14.3,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00000182,P00034,MP059,Manoj Mehta,2026-07-17,29.6,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000183,P00034,MP059,Manoj Mehta,2026-06-01,38.4,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000184,P00034,MP059,Manoj Mehta,2025-06-11,31.6,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000185,P00034,MP059,Manoj Mehta,2025-07-21,12.3,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00000186,P00034,MP059,Manoj Mehta,2026-04-08,8.1,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00000187,P00035,MP006,Neha Sharma,2026-08-16,7.0,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000188,P00035,MP006,Neha Sharma,2026-04-17,15.1,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00000189,P00035,MP006,Neha Sharma,2025-09-08,15.1,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00000190,P00035,MP006,Neha Sharma,2026-03-26,8.1,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000191,P00036,MP013,Pooja Joshi,2025-02-26,5.0,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00000192,P00036,MP013,Pooja Joshi,2026-05-22,5.0,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00000193,P00036,MP013,Pooja Joshi,2025-03-22,17.5,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00000194,P00036,MP013,Pooja Joshi,2025-05-09,5.0,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00000195,P00036,MP013,Pooja Joshi,2025-11-23,15.4,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00000196,P00036,MP013,Pooja Joshi,2025-03-20,31.4,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00000197,P00036,MP013,Pooja Joshi,2025-12-27,10.5,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00000198,P00036,MP013,Pooja Joshi,2026-04-16,13.6,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00000199,P00037,MP020,Ravi Nair,2025-02-05,13.7,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
