duplicate_match_id,project_id,matched_project_id,text_similarity,location_match,sector_match,time_overlap,amount_similarity,duplicate_risk_score,match_status,data_type
DM0049,P00098,P01805,0.951,1,1,0,0.913,95.1,CANDIDATE,SYNTHETIC_DEMO
DM0050,P01270,P00150,0.94,1,1,1,0.757,94.0,CANDIDATE,SYNTHETIC_DEMO
DM0051,P00051,P02498,0.938,1,1,1,0.931,93.8,CANDIDATE,SYNTHETIC_DEMO
DM0052,P00887,P02777,0.908,1,1,1,0.978,90.8,CANDIDATE,SYNTHETIC_DEMO
DM0053,P00742,P02466,0.939,1,1,0,0.841,93.9,CANDIDATE,SYNTHETIC_DEMO
DM0054,P01368,P01744,0.961,1,1,0,0.864,96.1,CANDIDATE,SYNTHETIC_DEMO
DM0055,P00846,P01910,0.907,1,1,0,0.924,90.7,CANDIDATE,SYNTHETIC_DEMO
DM0056,P02047,P02628,0.951,1,1,0,0.859,95.1,CANDIDATE,SYNTHETIC_DEMO
DM0057,P02949,P02750,0.927,1,1,1,0.758,92.7,CANDIDATE,SYNTHETIC_DEMO
DM0058,P01592,P01141,0.944,1,1,1,0.802,94.4,CANDIDATE,SYNTHETIC_DEMO
DM0059,P01341,P01271,0.908,1,1,0,0.892,90.8,CANDIDATE,SYNTHETIC_DEMO
DM0060,P01876,P02432,0.962,1,1,1,0.767,96.2,CANDIDATE,SYNTHETIC_DEMO
DM0061,P01601,P00633,0.937,1,1,1,0.942,93.7,CANDIDATE,SYNTHETIC_DEMO
DM0062,P02466,P01885,0.952,1,1,0,0.811,95.2,CANDIDATE,SYNTHETIC_DEMO
DM0063,P00677,P00402,0.956,1,1,1,0.792,95.6,CANDIDATE,SYNTHETIC_DEMO
DM0064,P02014,P01586,0.923,1,1,0,0.76,92.3,CANDIDATE,SYNTHETIC_DEMO
DM0065,P01967,P02115,0.927,1,1,0,0.915,92.7,CANDIDATE,SYNTHETIC_DEMO
DM0066,P02298,P00343,0.916,1,1,1,0.81,91.6,CANDIDATE,SYNTHETIC_DEMO
DM0067,P02445,P01402,0.962,1,1,0,0.935,96.2,CANDIDATE,SYNTHETIC_DEMO
DM0068,P02733,P00145,0.924,1,1,0,0.832,92.4,CANDIDATE,SYNTHETIC_DEMO
DM0069,P01018,P02420,0.947,1,1,1,0.805,94.7,CANDIDATE,SYNTHETIC_DEMO
DM0070,P00319,P01631,0.965,1,1,0,0.774,96.5,CANDIDATE,SYNTHETIC_DEMO
DM0071,P02525,P00422,0.911,1,1,0,0.855,91.1,CANDIDATE,SYNTHETIC_DEMO
DM0072,P00440,P01348,0.964,1,1,1,0.755,96.4,CANDIDATE,SYNTHETIC_DEMO
DM0073,P00002,P01965,0.972,1,1,1,0.902,97.2,CANDIDATE,SYNTHETIC_DEMO
DM0074,P00128,P00356,0.933,1,1,0,0.817,93.3,CANDIDATE,SYNTHETIC_DEMO
DM0075,P02537,P02044,0.956,1,1,0,0.766,95.6,CANDIDATE,SYNTHETIC_DEMO
