budget_record_id,mp_id,mp_name,financial_year,opening_balance_demo,annual_allocation_demo,sanctioned_amount_demo,expenditure_demo,closing_balance_demo,data_type
BR000038,MP008,Suresh Joshi,2024-25,58829849,50000000,35484000,20552000,88277849,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000039,MP008,Suresh Joshi,2025-26,88277849,50000000,45577000,16443000,121834849,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000040,MP008,Suresh Joshi,2026-27,121834849,50000000,45975000,24681000,147153849,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000041,MP009,Kavita Mehta,2022-23,12846265,50000000,25222000,12868000,49978265,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000042,MP009,Kavita Mehta,2023-24,49978265,50000000,31732000,27194000,72784265,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000043,MP009,Kavita Mehta,2024-25,72784265,50000000,38870000,28074000,94710265,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000044,MP009,Kavita Mehta,2025-26,94710265,50000000,27651000,10914000,133796265,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000045,MP009,Kavita Mehta,2026-27,133796265,50000000,41540000,18039000,165757265,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000046,MP010,Arjun Nair,2022-23,981556,50000000,25029000,13204000,37777556,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000047,MP010,Arjun Nair,2023-24,37777556,50000000,44145000,18074000,69703556,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000048,MP010,Arjun Nair,2024-25,69703556,50000000,39663000,26003000,93700556,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000049,MP010,Arjun Nair,2025-26,93700556,50000000,49658000,33488000,110212556,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000050,MP010,Arjun Nair,2026-27,110212556,50000000,47709000,27228000,132984556,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000051,MP011,Meena Sharma,2022-23,12473570,50000000,25993000,11967000,50506570,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000052,MP011,Meena Sharma,2023-24,50506570,50000000,27823000,15572000,84934570,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000053,MP011,Meena Sharma,2024-25,84934570,50000000,42391000,24310000,110624570,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000054,MP011,Meena Sharma,2025-26,110624570,50000000,48919000,41791000,118833570,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000055,MP011,Meena Sharma,2026-27,118833570,50000000,26076000,11011000,157822570,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000056,MP012,Nitin Singh,2022-23,4431735,50000000,44219000,19369000,35062735,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000057,MP012,Nitin Singh,2023-24,35062735,50000000,39412000,28704000,56358735,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000058,MP012,Nitin Singh,2024-25,56358735,50000000,45514000,30660000,75698735,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000059,MP012,Nitin Singh,2025-26,75698735,50000000,46216000,33341000,92357735,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000060,MP012,Nitin Singh,2026-27,92357735,50000000,42184000,17308000,125049735,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000061,MP013,Pooja Joshi,2022-23,8311532,50000000,45676000,18948000,39363532,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000062,MP013,Pooja Joshi,2023-24,39363532,50000000,27969000,11805000,77558532,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000063,MP013,Pooja Joshi,2024-25,77558532,50000000,29931000,13606000,113952532,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000064,MP013,Pooja Joshi,2025-26,113952532,50000000,41283000,32405000,131547532,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000065,MP013,Pooja Joshi,2026-27,131547532,50000000,27254000,24481000,157066532,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000066,MP014,Manoj Mehta,2022-23,10634291,50000000,48281000,40070000,20564291,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000067,MP014,Manoj Mehta,2023-24,20564291,50000000,36492000,33394000,37170291,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000068,MP014,Manoj Mehta,2024-25,37170291,50000000,33920000,24965000,62205291,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000069,MP014,Manoj Mehta,2025-26,62205291,50000000,45241000,36793000,75412291,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000070,MP014,Manoj Mehta,2026-27,75412291,50000000,48711000,27030000,98382291,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000071,MP015,Deepak Nair,2022-23,12681885,50000000,28870000,26168000,36513885,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000072,MP015,Deepak Nair,2023-24,36513885,50000000,31658000,16807000,69706885,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000073,MP015,Deepak Nair,2024-25,69706885,50000000,45448000,33907000,85799885,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000074,MP015,Deepak Nair,2025-26,85799885,50000000,36112000,24391000,111408885,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000075,MP015,Deepak Nair,2026-27,111408885,50000000,36798000,16510000,144898885,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000076,MP016,Amit Sharma,2022-23,13804312,50000000,39474000,27189000,36615312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000077,MP016,Amit Sharma,2023-24,36615312,50000000,48648000,34303000,52312312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000078,MP016,Amit Sharma,2024-25,52312312,50000000,41464000,26838000,75474312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000079,MP016,Amit Sharma,2025-26,75474312,50000000,36426000,16213000,109261312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000080,MP016,Amit Sharma,2026-27,109261312,50000000,39031000,33244000,126017312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000081,MP017,Rahul Singh,2022-23,3018120,50000000,37922000,22896000,30122120,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000082,MP017,Rahul Singh,2023-24,30122120,50000000,29067000,17247000,62875120,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000083,MP017,Rahul Singh,2024-25,62875120,50000000,31717000,20919000,91956120,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000084,MP017,Rahul Singh,2025-26,91956120,50000000,28208000,25745000,116211120,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000085,MP017,Rahul Singh,2026-27,116211120,50000000,45590000,21840000,144371120,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000086,MP018,Priya Joshi,2022-23,7254751,50000000,46839000,19888000,37366751,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000087,MP018,Priya Joshi,2023-24,37366751,50000000,38725000,29507000,57859751,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000088,MP018,Priya Joshi,2024-25,57859751,50000000,37901000,24455000,83404751,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000089,MP018,Priya Joshi,2025-26,83404751,50000000,42235000,38130000,95274751,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000090,MP018,Priya Joshi,2026-27,95274751,50000000,27199000,9835000,135439751,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000091,MP019,Anita Mehta,2022-23,6845312,50000000,29273000,13306000,43539312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000092,MP019,Anita Mehta,2023-24,43539312,50000000,44997000,37147000,56392312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000093,MP019,Anita Mehta,2024-25,56392312,50000000,40224000,27821000,78571312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000094,MP019,Anita Mehta,2025-26,78571312,50000000,25316000,19620000,108951312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000095,MP019,Anita Mehta,2026-27,108951312,50000000,47332000,33424000,125527312,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000096,MP020,Ravi Nair,2022-23,4316492,50000000,28394000,24369000,29947492,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000097,MP020,Ravi Nair,2023-24,29947492,50000000,46245000,25006000,54941492,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000098,MP020,Ravi Nair,2024-25,54941492,50000000,41446000,28192000,76749492,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000099,MP020,Ravi Nair,2025-26,76749492,50000000,49133000,27599000,99150492,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000100,MP020,Ravi Nair,2026-27,99150492,50000000,30710000,14298000,134852492,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000101,MP021,Neha Sharma,2022-23,4270548,50000000,27890000,20795000,33475548,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000102,MP021,Neha Sharma,2023-24,33475548,50000000,29146000,25443000,58032548,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000103,MP021,Neha Sharma,2024-25,58032548,50000000,37772000,29084000,78948548,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000104,MP021,Neha Sharma,2025-26,78948548,50000000,43470000,30733000,98215548,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000105,MP021,Neha Sharma,2026-27,98215548,50000000,33493000,23749000,124466548,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000106,MP022,Vikram Singh,2022-23,12263645,50000000,42415000,19419000,42844645,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000107,MP022,Vikram Singh,2023-24,42844645,50000000,48846000,25118000,67726645,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000108,MP022,Vikram Singh,2024-25,67726645,50000000,35793000,25896000,91830645,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000109,MP022,Vikram Singh,2025-26,91830645,50000000,33726000,24616000,117214645,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000110,MP022,Vikram Singh,2026-27,117214645,50000000,38057000,23390000,143824645,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000111,MP023,Suresh Joshi,2022-23,3669720,50000000,34639000,18853000,34816720,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000112,MP023,Suresh Joshi,2023-24,34816720,50000000,45440000,28696000,56120720,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000113,MP023,Suresh Joshi,2024-25,56120720,50000000,35759000,31730000,74390720,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000114,MP023,Suresh Joshi,2025-26,74390720,50000000,28065000,20879000,103511720,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000115,MP023,Suresh Joshi,2026-27,103511720,50000000,27545000,17155000,136356720,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000116,MP024,Kavita Mehta,2022-23,12747486,50000000,46971000,38872000,23875486,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000117,MP024,Kavita Mehta,2023-24,23875486,50000000,43549000,30780000,43095486,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000118,MP024,Kavita Mehta,2024-25,43095486,50000000,37526000,22068000,71027486,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000119,MP024,Kavita Mehta,2025-26,71027486,50000000,43398000,15249000,105778486,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000120,MP024,Kavita Mehta,2026-27,105778486,50000000,31810000,28024000,127754486,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000121,MP025,Arjun Nair,2022-23,7877595,50000000,26431000,22705000,35172595,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000122,MP025,Arjun Nair,2023-24,35172595,50000000,49643000,30018000,55154595,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000123,MP025,Arjun Nair,2024-25,55154595,50000000,29057000,18835000,86319595,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000124,MP025,Arjun Nair,2025-26,86319595,50000000,32134000,29373000,106946595,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000125,MP025,Arjun Nair,2026-27,106946595,50000000,25294000,15148000,141798595,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000126,MP026,Meena Sharma,2022-23,12242582,50000000,42591000,21548000,40694582,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000127,MP026,Meena Sharma,2023-24,40694582,50000000,40729000,22400000,68294582,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000128,MP026,Meena Sharma,2024-25,68294582,50000000,31863000,17655000,100639582,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000129,MP026,Meena Sharma,2025-26,100639582,50000000,26107000,22846000,127793582,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000130,MP026,Meena Sharma,2026-27,127793582,50000000,46477000,41031000,136762582,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000131,MP027,Nitin Singh,2022-23,11211232,50000000,47946000,31087000,30124232,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000132,MP027,Nitin Singh,2023-24,30124232,50000000,30159000,25908000,54216232,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000133,MP027,Nitin Singh,2024-25,54216232,50000000,45498000,35272000,68944232,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000134,MP027,Nitin Singh,2025-26,68944232,50000000,33174000,22151000,96793232,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000135,MP027,Nitin Singh,2026-27,96793232,50000000,26557000,23164000,123629232,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000136,MP028,Pooja Joshi,2022-23,12136733,50000000,40234000,22112000,40024733,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000137,MP028,Pooja Joshi,2023-24,40024733,50000000,45418000,22025000,67999733,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000138,MP028,Pooja Joshi,2024-25,67999733,50000000,25380000,18609000,99390733,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000139,MP028,Pooja Joshi,2025-26,99390733,50000000,31728000,17102000,132288733,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000140,MP028,Pooja Joshi,2026-27,132288733,50000000,48689000,42201000,140087733,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000141,MP029,Manoj Mehta,2022-23,2545534,50000000,32317000,11750000,40795534,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000142,MP029,Manoj Mehta,2023-24,40795534,50000000,46349000,21681000,69114534,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000143,MP029,Manoj Mehta,2024-25,69114534,50000000,36871000,13119000,105995534,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000144,MP029,Manoj Mehta,2025-26,105995534,50000000,30651000,20407000,135588534,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000145,MP029,Manoj Mehta,2026-27,135588534,50000000,45074000,24461000,161127534,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000146,MP030,Deepak Nair,2022-23,4595109,50000000,43653000,19890000,34705109,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000147,MP030,Deepak Nair,2023-24,34705109,50000000,48886000,42793000,41912109,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000148,MP030,Deepak Nair,2024-25,41912109,50000000,32748000,21127000,70785109,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000149,MP030,Deepak Nair,2025-26,70785109,50000000,38159000,29866000,90919109,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000150,MP030,Deepak Nair,2026-27,90919109,50000000,48421000,38308000,102611109,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000151,MP031,Amit Sharma,2022-23,12754184,50000000,49930000,31749000,31005184,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000152,MP031,Amit Sharma,2023-24,31005184,50000000,33212000,19532000,61473184,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000153,MP031,Amit Sharma,2024-25,61473184,50000000,37894000,29736000,81737184,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000154,MP031,Amit Sharma,2025-26,81737184,50000000,49623000,35132000,96605184,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000155,MP031,Amit Sharma,2026-27,96605184,50000000,29702000,21592000,125013184,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000156,MP032,Rahul Singh,2022-23,6665237,50000000,33510000,29555000,27110237,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000157,MP032,Rahul Singh,2023-24,27110237,50000000,36023000,21099000,56011237,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000158,MP032,Rahul Singh,2024-25,56011237,50000000,26487000,19311000,86700237,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000159,MP032,Rahul Singh,2025-26,86700237,50000000,41033000,27447000,109253237,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000160,MP032,Rahul Singh,2026-27,109253237,50000000,46894000,33118000,126135237,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000161,MP033,Priya Joshi,2022-23,11866537,50000000,48258000,18360000,43506537,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000162,MP033,Priya Joshi,2023-24,43506537,50000000,27115000,21330000,72176537,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000163,MP033,Priya Joshi,2024-25,72176537,50000000,40658000,19981000,102195537,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000164,MP033,Priya Joshi,2025-26,102195537,50000000,37955000,20911000,131284537,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000165,MP033,Priya Joshi,2026-27,131284537,50000000,31402000,11350000,169934537,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000166,MP034,Anita Mehta,2022-23,915811,50000000,49978000,26469000,24446811,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000167,MP034,Anita Mehta,2023-24,24446811,50000000,25482000,17947000,56499811,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000168,MP034,Anita Mehta,2024-25,56499811,50000000,48727000,40431000,66068811,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000169,MP034,Anita Mehta,2025-26,66068811,50000000,40877000,29281000,86787811,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000170,MP034,Anita Mehta,2026-27,86787811,50000000,25991000,18682000,118105811,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000171,MP035,Ravi Nair,2022-23,4481494,50000000,32656000,22959000,31522494,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000172,MP035,Ravi Nair,2023-24,31522494,50000000,43111000,32927000,48595494,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000173,MP035,Ravi Nair,2024-25,48595494,50000000,34116000,27512000,71083494,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000174,MP035,Ravi Nair,2025-26,71083494,50000000,46975000,16528000,104555494,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000175,MP035,Ravi Nair,2026-27,104555494,50000000,47753000,29260000,125295494,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000176,MP036,Neha Sharma,2022-23,10290760,50000000,33962000,15594000,44696760,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000177,MP036,Neha Sharma,2023-24,44696760,50000000,32899000,16285000,78411760,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000178,MP036,Neha Sharma,2024-25,78411760,50000000,49781000,20978000,107433760,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
BR000179,MP036,Neha Sharma,2025-26,107433760,50000000,47689000,22767000,134666760,SYNTHETIC_DEMO_NOT_OFFICIAL_ACCOUNTING
