mp_id,mp_name,state,constituency,current_projects,sanctioned_amount,funds_released,expenditure,unspent_balance,high_risk_projects,medium_risk_projects,delayed_projects,avg_risk_score,utilization_pct,data_type
MP013,Pooja Joshi,Rajasthan,Jaipur Rural,50,54361000,40213000,18685000,21528000,0,14,35,27.671999999999997,46.5,SYNTHETIC_DEMO
MP014,Manoj Mehta,West Bengal,Howrah,50,49627000,38386000,19874000,18512000,0,13,38,29.646,51.8,SYNTHETIC_DEMO
MP015,Deepak Nair,Gujarat,Vadodara,50,50834000,38017000,18245000,19772000,0,10,39,25.728,48.0,SYNTHETIC_DEMO
MP016,Amit Sharma,Uttar Pradesh,Lucknow East,50,58890000,44217000,20329000,23888000,0,16,35,30.294,46.0,SYNTHETIC_DEMO
MP017,Rahul Singh,Tamil Nadu,Madurai,50,54815000,41626000,21023000,20603000,0,15,34,29.834,50.5,SYNTHETIC_DEMO
MP018,Priya Joshi,Odisha,Sambalpur,50,62277000,51452000,26233000,25219000,0,14,39,29.94,51.0,SYNTHETIC_DEMO
MP019,Anita Mehta,Bihar,Patna Rural,50,49591000,39253000,20378000,18875000,0,10,40,27.572,51.9,SYNTHETIC_DEMO
MP020,Ravi Nair,Telangana,Warangal,50,68389000,53360000,25233000,28127000,0,10,31,26.372,47.3,SYNTHETIC_DEMO
MP021,Neha Sharma,Maharashtra,Nashik Central,50,67743000,52493000,26958000,25535000,0,15,35,30.29,51.4,SYNTHETIC_DEMO
MP022,Vikram Singh,Karnataka,Bengaluru North,50,66700000,47731000,23473000,24258000,0,11,40,26.081999999999997,49.2,SYNTHETIC_DEMO
MP023,Suresh Joshi,Rajasthan,Kota,50,56737000,42319000,22144000,20175000,0,15,36,28.578000000000003,52.3,SYNTHETIC_DEMO
MP024,Kavita Mehta,West Bengal,Malda,50,54605000,42061000,19569000,22492000,0,13,34,28.708000000000002,46.5,SYNTHETIC_DEMO
MP025,Arjun Nair,Gujarat,Ahmedabad West,50,57698000,43827000,20956000,22871000,0,11,41,28.05,47.8,SYNTHETIC_DEMO
MP026,Meena Sharma,Uttar Pradesh,Varanasi Rural,50,61573000,48608000,23810000,24798000,0,15,39,29.94,49.0,SYNTHETIC_DEMO
MP027,Nitin Singh,Tamil Nadu,Salem,50,50036000,39592000,19676000,19916000,1,11,34,26.954,49.7,SYNTHETIC_DEMO
MP028,Pooja Joshi,Odisha,Bhubaneswar,50,53281000,43904000,23193000,20711000,0,13,33,29.166,52.8,SYNTHETIC_DEMO
MP029,Manoj Mehta,Bihar,Gaya,50,54088000,42749000,24662000,18087000,0,13,33,27.384,57.7,SYNTHETIC_DEMO
MP030,Deepak Nair,Telangana,Nizamabad,50,55089000,42607000,20964000,21643000,0,9,34,25.854,49.2,SYNTHETIC_DEMO
MP031,Amit Sharma,Maharashtra,Pune East,50,49063000,35623000,17675000,17948000,0,15,31,29.061999999999998,49.6,SYNTHETIC_DEMO
MP032,Rahul Singh,Karnataka,Mysuru,50,62347000,45419000,21075000,24344000,1,14,41,32.852,46.4,SYNTHETIC_DEMO
MP033,Priya Joshi,Rajasthan,Udaipur,50,56020000,42952000,22438000,20514000,0,15,36,30.498,52.2,SYNTHETIC_DEMO
MP034,Anita Mehta,West Bengal,Kolkata North,50,62365000,48414000,22812000,25602000,0,16,36,31.291999999999998,47.1,SYNTHETIC_DEMO
MP035,Ravi Nair,Gujarat,Surat Rural,50,50872000,41894000,21905000,19989000,0,14,36,26.63,52.3,SYNTHETIC_DEMO
MP036,Neha Sharma,Uttar Pradesh,Prayagraj,50,71067000,54544000,29600000,24944000,1,15,40,32.266,54.3,SYNTHETIC_DEMO
MP037,Vikram Singh,Tamil Nadu,Coimbatore,50,54337000,43835000,22730000,21105000,0,16,42,32.416,51.9,SYNTHETIC_DEMO
MP038,Suresh Joshi,Odisha,Cuttack,50,53954000,41204000,19385000,21819000,0,9,35,26.714000000000002,47.0,SYNTHETIC_DEMO
MP039,Kavita Mehta,Bihar,Muzaffarpur,50,52238000,39089000,20547000,18542000,0,18,33,31.404,52.6,SYNTHETIC_DEMO
MP040,Arjun Nair,Telangana,Hyderabad Rural,50,60863000,48276000,22601000,25675000,0,11,37,29.164,46.8,SYNTHETIC_DEMO
MP041,Meena Sharma,Maharashtra,Nagpur Rural,50,51703000,41309000,21610000,19699000,1,7,36,24.98,52.3,SYNTHETIC_DEMO
MP042,Nitin Singh,Karnataka,Hubballi,50,60535000,43375000,23815000,19560000,0,18,43,33.001999999999995,54.9,SYNTHETIC_DEMO
MP043,Pooja Joshi,Rajasthan,Jaipur Rural,50,53907000,41997000,21505000,20492000,0,13,36,28.214000000000002,51.2,SYNTHETIC_DEMO
MP044,Manoj Mehta,West Bengal,Howrah,50,53415000,39968000,19686000,20282000,0,13,39,28.236,49.3,SYNTHETIC_DEMO
MP045,Deepak Nair,Gujarat,Vadodara,50,58115000,42947000,24975000,17972000,1,11,35,27.364,58.2,SYNTHETIC_DEMO
MP046,Amit Sharma,Uttar Pradesh,Lucknow East,50,52864000,43619000,22354000,21265000,1,14,34,30.654,51.2,SYNTHETIC_DEMO
MP047,Rahul Singh,Tamil Nadu,Madurai,50,47027000,37415000,20365000,17050000,0,9,38,27.11,54.4,SYNTHETIC_DEMO
MP048,Priya Joshi,Odisha,Sambalpur,50,59201000,44723000,23893000,20830000,0,10,34,24.158,53.4,SYNTHETIC_DEMO
MP049,Anita Mehta,Bihar,Patna Rural,50,70909000,52504000,25013000,27491000,0,16,33,33.328,47.6,SYNTHETIC_DEMO
MP050,Ravi Nair,Telangana,Warangal,50,50966000,39998000,21753000,18245000,0,15,36,30.588,54.4,SYNTHETIC_DEMO
MP051,Neha Sharma,Maharashtra,Nashik Central,50,53681000,42079000,23613000,18466000,1,9,36,29.392,56.1,SYNTHETIC_DEMO
MP052,Vikram Singh,Karnataka,Bengaluru North,50,48999000,37821000,17585000,20236000,0,8,34,23.996,46.5,SYNTHETIC_DEMO
MP053,Suresh Joshi,Rajasthan,Kota,50,52390000,40617000,20989000,19628000,1,11,36,27.316,51.7,SYNTHETIC_DEMO
MP054,Kavita Mehta,West Bengal,Malda,50,57229000,44192000,23745000,20447000,0,11,36,28.756,53.7,SYNTHETIC_DEMO
MP055,Arjun Nair,Gujarat,Ahmedabad West,50,63348000,48665000,25539000,23126000,1,13,43,32.144,52.5,SYNTHETIC_DEMO
MP056,Meena Sharma,Uttar Pradesh,Varanasi Rural,50,60547000,47933000,23186000,24747000,0,15,35,29.576,48.4,SYNTHETIC_DEMO
MP057,Nitin Singh,Tamil Nadu,Salem,50,53289000,37748000,19916000,17832000,0,10,35,25.52,52.8,SYNTHETIC_DEMO
MP058,Pooja Joshi,Odisha,Bhubaneswar,50,51590000,39138000,19229000,19909000,0,14,37,30.586,49.1,SYNTHETIC_DEMO
MP059,Manoj Mehta,Bihar,Gaya,50,57823000,45904000,21622000,24282000,0,11,38,26.26,47.1,SYNTHETIC_DEMO
MP060,Deepak Nair,Telangana,Nizamabad,50,53798000,42771000,23080000,19691000,0,13,34,28.868000000000002,54.0,SYNTHETIC_DEMO
